State	Credit Size	Fully Refundable	ITIN Inclusion	Age Enhancement	Annual Revenue Impact	Notes
California	85%	Yes 	Yes	X (18-24, 65+)	FY27: $1 billion	The maximum income limit is up to $35,070 depending on filing status and family size. EITC eligible households with at least one child under 6 will receive an additional $1,277 refundable credit.
Colorado	25%	Yes 	Yes	X (19-24)	FY27: $111 million	In 2024, lawmakers enacted a TABOR refund growth formula that could result in a boosted EITC percentage in good years. The credit was 25 percent in 2026 and is expected to continue at 25 percent in 2027.
Connecticut	40%	Yes 	No		FY27: $241.5 million	Families with at least one qualifying child for federal income tax purposes receive a flat $250 in addition to their EITC match.
Delaware	4.5%; 20%	Partially refundable	No		FY26: $18.5 million	Offers the option of either a 20 percent non-refundable EITC or a refundable credit equal to 4.5 percent of the federal credit.
District of Columbia	85%; 100%	Yes 	Yes		FY27: $98.8 million	Offers 100 percent of the federal credit for workers without children in the home and provides expanded income eligibility. Offers 85 percent of the federal credit in 2025-2028, and 100 percent in 2029 and beyond.
Hawaii	40%	Yes 	No		TY23: $77 million	0
Iowa	15%	Yes 	No		TY20: $72.3 million	0
Illinois	20%; 28%	Yes 	Yes	X (18-24, 65+)	FY24: $370 million	Provides a 40 percent match of the state credit to qualifying households with children under 12 years of age, essentially the equivalent of a 28 percent match. 
Indiana	10%	Yes 	No		FY27: $120 million	0
Kansas	17%	Yes 	No		TY24: $76.4 million	0
Louisiana	5%	Yes 	No		FY27: $81.9 million	Current match will sunset in 2031; At that point the credit will return to 3.5 percent of the federal credit.
Maine	25%; 50%	Yes 	Yes	X (18-24)	FY27: $40.9 million	Offers 25 percent of the federal credit for families with children in the home and 50 percent of federal credit for workers without children in the home.
Maryland	45%; 50%; 100%	Yes 	Yes	X (18-24)	FY24: $499.5 million	Families with children in the home receive either a refundable 45 percent or nonrefundable 50 percent of the federal credit. Workers without children in the home receive a credit equal to 100 percent of federal.
Massachusetts	40%	Yes 	No		FY27: $397 million	0
Michigan	30%	Yes 	No		TY24: $591.9 million	0
Minnesota	See Note	Yes 	Yes	X (19-24)	FY27: $752.6 million	"Minnesota's Working Families Credit was restructured in 2023 to better align with their Child Tax Credit. In 2027, families can claim a credit equal to 4 percent on their first $1,020 of income and receive a boost based on their number of qualifying older children (details below):
$1,050 for one qualifying older child
$2,380 for two qualifying older children
$2,850 for three qualifying older children"
Missouri	20%	Nonrefundable	No		FY26: $72 million	0
Montana	20%	Yes 	No		N/A	0
Nebraska	10%	Yes 	No		TY24: $30 million	0
New Jersey	40%	Yes 	No	X (18-24, 65+)	FY27: $628.1 million	Workers without children in the home, ages 18-24 or 65+, automatically receive a 40 percent match of the maximum credit for childless workers. 
New Mexico	25%	Yes 	Yes	X (18-24)	FY25: $135.9 million	0
New York	30%	Yes 	No		FY26: $1.18 billion	Reduced by the amount of any household credit. 
Ohio	30%	Nonrefundable	No		FY27: $62.2 million	0
Oklahoma	5%	Yes 	No		TY22: $40.2 million	0
Oregon	14%; 17%	Yes 	Yes		FY26: $80.5 million	Provides a credit of 14 percent of the federal credit for families with children 3 and older and a 17 percent credit for families with children under 3.
Pennsylvania	10%	Yes	No		FY27: $203.2 million	0
Rhode Island	16%	Yes 	No		FY27: $32.6 million	0
South Carolina	125%	Nonrefundable	No		FY26: $23.5 million**	Despite having a 125 percent match of the federal EITC, the credit's nonrefundability prevents the vast majority of families from receiving a meaningful credit. Most low- and moderate-income households would benefit more from a 5 percent refundable credit than the current 125 percent nonrefundable credit. The credit is also capped at $200.
Utah	20%	Nonrefundable	No		N/A	0
Vermont	38%; 100%	Yes 	Yes		FY26: $29.9 million	Offers 38 percent of the federal credit for families with children in the home and 100 percent of federal credit for workers without children in the home.
Virginia	20%	Yes, until 2030	No		N/A	Previously offered an option of either a 20 percent nonrefundable credit or a refundable credit equal to 15 percent of the federal credit. The state credit is now fully refundable 20 percent until 2030.
Washington	See Note	Yes 	Yes		FY27: $188 million	"Not a direct percentage of federal. Requires federal EITC elibility then offers a flat $355/person credit maxed out at $1,405. An expansion of the credit was passed in 2026 that will go into effect in 2029*.

"
Wisconsin	34%; 11%; 4%	Yes 	No		FY24: $89.3 million	Provides a credit of 34 percent of the federal credit for families with 3 children; 11 percent for families with 2 children, 4 percent for families with 1 child, and no EITC for workers without children in the home.

